record_id,first_seen_date,search_term,source,origin,document_type,authors,title,abstract,keywords,publication_year,publication_date,doi,url,openalex_id,is_oa,pdf_url,relevance_status,relevance_score,relevance_reason,relevance_evidence,second_review_status,second_review_reason,second_review_evidence
10.30828/real.950445,2026-09-04,dirección escolar,OpenAlex,Research in Educational Administration & Leadership,article,Marina García Carmona; Antonio-José Moreno-Guerrero; Antonio-Manuel Rodríguez-García,"Retrospective and Prospective Analysis on Educational Leadership: Indicators of Productivity, Dispersion, and Content","Purpose This article seeks to analyze the production, performance, impact, and content of scientific documents contained in an internationally recognized database, Web of Science, that consider Educational Leadership (EL) thesaurus (title, abstract and/or keywords). Research Methods To this end, a scientometric study was performed on a sample of 2,181 research documents that met the established inclusion criteria. A co-word analysis was also performed using Hirsch’s index (2005), as well as several bibliometric indicators, impact factors, and citation indices (h, g, hg, q2). Findings The main findings indicate that production on the topic of EL dates back to 1924, although it did not reach a significant level until 2004. There are several important points in relation to the production profile on EL that are highlighted: language, area of knowledge and institutions, and authors specializing in the subject. There are several lines of study open in the established periods, and the subjects that should be taken into account for the future are: “critical-race-theory”, “identity”, and “distributed-leadership”. Implications for Research and Practice We discuss the implications and limitations of the study and offer ways for education leaders to address new education policies, and their practical implications.",Productivity; Citation; Content analysis; Inclusion (mineral); Production (economics); Citation analysis; Subject (documents); Bibliometrics; Relation (database); Index (typography); Sociology; Psychology; Computer science; Library science; Social science; Database; World Wide Web,2022,2022-06-27,10.30828/real.950445,https://doi.org/10.30828/real.950445,https://openalex.org/W4283582243,True,https://dergipark.org.tr/en/download/article-file/1816677,rechazada,5,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,frase media en título: educational leadership | frase media en resumen/palabras clave: educational leadership,descartar,gestión/liderazgo educativo sin foco escolar/directivo,segunda revisión: coincidencia demasiado amplia: educational leadership
10.22518/jour.ccsh/2020.2a09,2026-09-04,gestión educativa,OpenAlex,Civilizar,article,Blanca Aurora Pita-Torres,Políticas Públicas y Gestión Educativa,"Este artículo de revisión es resultado de la investigación referente a la política pública, la gestión educativa y la formación docente en el ámbito colombiano. Para su desarrollo, se describen algunos conceptos en los cuales se enmarca la política educativa y la relevancia que esta tiene en los procesos educativos llevados a cabo en el país; así mismo, se presentan los conceptos que desde diferentes ópticas se han establecido para la política pública, la gestión educativa, la formación docente, la relación que estas tienen con el ser y el deber ser y los retos de la formación docente frente a los planteamientos de las políticas educativas. A partir de ello, se concluye que las políticas educativas deben crearse sobre el principio de la transversalidad, de donde tomen cada uno de los elementos importantes para brindar una educación de calidad que aporte directamente al desarrollo y solución de las problemáticas sociales.",Philosophy; Humanities,2020,2020-12-21,10.22518/jour.ccsh/2020.2a09,https://doi.org/10.22518/jour.ccsh/2020.2a09,https://openalex.org/W3183411142,True,https://revistas.usergioarboleda.edu.co/index.php/ccsh/article/download/v20n39a09/1327,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.46377/dilemas.v9i1.2832,2026-09-04,gestión educativa,OpenAlex,Dilemas contemporáneos Educación Política y Valores,article,Hilda Flores-Flores,"La gestión educativa, disciplina con características propias.","El artículo es una revisión teórica que tiene como objetivo mostrar las características halladas como propias de la gestión educativa. Se muestran los escenarios históricos-contextuales que dieron origen a su estudio en Estados Unidos y España, y que permiten su proliferación en América Latina, y posteriormente en México, como una herramienta de apalancamiento para evaluar y mejorar la calidad educativa. La metodología de construcción del estado del arte se basó en el desarrollo de las fases heurística, hermenéutica y holística. Se concluye que la gestión educativa no está separada de la administración sino es un elemento adaptado a la época en la cual se vive y que reclama la mejora de los servicios educativos.",Humanities; Cartography; Political science; Geography; Art,2021,2021-09-01,10.46377/dilemas.v9i1.2832,https://doi.org/10.46377/dilemas.v9i1.2832,https://openalex.org/W3198903670,True,https://www.dilemascontemporaneoseducacionpoliticayvalores.com/index.php/dilemas/article/download/2832/2847,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.35290/rcui.v10n3.2023.893,2026-09-04,gestión educativa,OpenAlex,Revista Científica UISRAEL,article,María Nilda Lule-Uriarte; Max Michael Serrano-Mesía; Nilson Yover Montenegro-Cruz,La gestión educativa: factor clave en la calidad educacional,"La investigación tuvo como objetivo aproximarse a la comprensión de la gestión educativa como eje fundamental para alcanzar la calidad educacional, por lo que se aplicó una investigación de tipo revisión documental, en la que se hizo uso del análisis de contenido para la construcción del conocimiento; los documentos revisados fueron recuperados de las bases de datos Scopus, Scielo y Google Académico, y seleccionados a partir de un muestreo basado en criterios que permitió identificar un total de treinta (n= 30) artículos a revisar, que fueron tratados a través de técnicas de análisis artesanales. Los resultados de la revisión permitieron identificar tres categorías de análisis fundamentales dentro del estudio, siendo estas: a) Gestión educativa: clave para brindar un servicio de calidad a la comunidad, b) Gestión educativa: elemento primordial para brindar atención oportuna a las necesidades de la población y, c) Gestión educativa, amalgama entre el liderazgo institucional, práctica docente y aprendizaje. Dentro de las conclusiones alcanzadas se destaca que las categorías de análisis que emergieron desde el horizonte de comprensión asumido presentan una característica en común y se relaciona con la necesidad de realizar una transformación desde las condiciones sociales y el contexto propio de los estudiantes para garantizar la emancipación racional de todos los actores educativos, generando una educación con calidad, democrática y de justicia social.",SciELO; Humanities; Political science; Philosophy,2023,2023-09-10,10.35290/rcui.v10n3.2023.893,https://doi.org/10.35290/rcui.v10n3.2023.893,https://openalex.org/W4386587353,True,https://revista.uisrael.edu.ec/index.php/rcui/article/download/893/908,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.22458/ie.v23i35.3834,2026-09-04,gestión educativa,OpenAlex,Innovaciones educativas,article,Warner Ruiz-Chaves; Evelyn Evelyn; José Antonio García-Martínez,La inclusión en la educación: una revisión de literatura para la gestión educativa,"Las investigaciones sobre la inclusión en la educación, han cobrado auge en la última década impulsada por la agenda mundial. El propósito de este estudio es analizar, sistemáticamente, la literatura de la última década relacionada con estudios empíricos sobre la inclusión en educación y su relación con la gestión educativa, para identificar los principales conceptos, estructurar evidencias, determinar las metodologías más frecuentes, así como conocer las tendencias y vacíos al respecto. La metodología empleada para la búsqueda y selección de estudios se basa en la declaración PRISMA, recurriendo a bases de datos de calado como Scopus, Latindex, ScieLO y Redalyc, obteniendo 33 artículos que cumplen con los criterios de aceptación establecidos. Los resultados destacan un 46 % sobre estudios de inclusión educativa, referidos a la temática de la discapacidad o necesidades educativas especiales (NEE); un 15 % sobre la educación inclusiva conceptualizada como inclusión para todos sin excepción; un 21 % sobre la gestión educativa para la inclusión y un 18 % sobre políticas educativas para la inclusión. Se evidencia la transformación del término inclusión educativa a lo largo de los años hacia la educación inclusiva; sin embargo, se denota un uso indistinto en las investigaciones. Se recomienda aumentar las investigaciones sobre la educación inclusiva, gestión y política educativa como una triada que se interconecta sistémicamente, para brindar luces sobre cómo poner en marcha un sistema educativo basado en la diversidad, el cumplimiento de derechos humanos y justicia social, que brinde igualdad de oportunidades y garantice la atención a toda la comunidad estudiantil.",SciELO; Humanities; Scopus; Philosophy; Political science; MEDLINE,2021,2021-12-03,10.22458/ie.v23i35.3834,https://doi.org/10.22458/ie.v23i35.3834,https://openalex.org/W4200374306,True,https://revistas.uned.ac.cr/index.php/innovaciones/article/download/3834/5121,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.31876/rcs.v27i2.35916,2026-09-04,gestión educativa,OpenAlex,Dialnet (Universidad de la Rioja),article,Silvana Botero; Fabian Atencio; Jorge Tafur; Hugo Hernández,Proceso vital en la gestión educativa: Herramienta de alta calidad hacia la sostenibilidad ambiental,"La educacin, es quizs una de las estructuras ms importantes de una nacin. De all que, se establece como objetivo esencia de investigacin, estudiar el proceso vital en la gestin educativa como herramienta de alta calidad hacia la sostenibilidad ambiental. Al respecto, se utilizaron una serie de autores para el anlisis de la temtica entre los que se destacan: Colino y Del Pino (2015); Durn (2016); Eslava (2015); Vlez (2015); entre otros. La metodologa de estudio se enfoc en aspectos cualitativos, llevando a cabo una serie de entrevistas a un grupo de tres expertos. Como resultados se puede connotar la corresponsabilidad que debe existir entre los actores del sector pblico, para el logro de los efectivos procesos de calidad en el sistema educativo. Asimismo, el proceso llevado actualmente por parte de las instituciones de educacin superior abre las puertas hacia la cohesin entre estos y la puesta en marcha de polticas encaminadas hacia la sostenibilidad ambiental. Se concluye, que se requiere fomentar dentro",Humanities; Political science; Art,2021,2021-01-01,10.31876/rcs.v27i2.35916,https://doi.org/10.31876/rcs.v27i2.35916,https://openalex.org/W3192977940,True,https://produccioncientificaluz.org/index.php/rcs/article/download/35916/38271,rechazada,4,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.52080/rvgluz.27.8.47,2026-09-04,gestión educativa,OpenAlex,Revista Venezolana de Gerencia,article,Lilia Esther Palacio Sprockel; Rebeca Yaneth Curiel Gómez; Karen Peñaranda De Armas,Innovación en la gestión educativa: actores y procesos,"El objetivo de esta investigación se orientó a analizar las innovaciones en la gestión educativa desde la perspectiva de los actores y procesos. Metodológicamente, se trata de un estudio teórico orientado por operaciones mentales para producir explicaciones acerca de fenómenos sociales. Los resultados apuntan hacia: a) transformaciones en las funciones de los actores de la gestión educativa (b) los nuevos actores que irrumpen en la escena de la gestión educativa que constituyen una entrada visible del sector privado en la educación pública; c) procesos de control centrado en las personas y la evaluación cuantativa de contendidos; d) estrategias que proyectan una innovación en la comunicación en la educación. Las conclusiones indican la instrumentalización de la profesión docente, las TIC son un medio y no un fin para el logro de una educación equitativa y de calidad, por lo que apostamos a una tecnología humanizadora.",Political science; Persona; Humanities; Art,2022,2022-11-25,10.52080/rvgluz.27.8.47,https://doi.org/10.52080/rvgluz.27.8.47,https://openalex.org/W4310761315,True,https://produccioncientificaluz.org/index.php/rvg/article/download/39219/44050/,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.69821/constellations.v1i1.5,2026-09-04,gestión educativa,OpenAlex,Pedagogical Constellation,article,Juan Carlos Nina Arratia,Resignificación de la gestión educativa,"The article addresses the need to reframe educational management within the context of intercultural and intracultural education, particularly in the Plurinational State of Bolivia. It argues that current educational management models, based on Eurocentric categories, have lost relevance in the local context, hindering a profound educational transformation. The objective is to explore how to design educational management models that respond to the realities and knowledge of indigenous peoples, promoting intercultural dialogue that recognizes and values the plurality of knowledge and languages. The methodology suggests a reconstruction of the educational curriculum through approaches that integrate the base, regionalized, and diversified curricula, thus fostering a decolonizing education. It concludes that achieving true educational transformation requires the recovery of indigenous languages and their meanings, as well as the revaluation of cultural knowledge and practices from a perspective that prioritizes life and respect for nature over material progress.",Political science,2022,2022-12-30,10.69821/constellations.v1i1.5,https://doi.org/10.69821/constellations.v1i1.5,https://openalex.org/W4403093707,True,https://pedagogicalconstellations.com/index.php/home/article/download/5/6,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: educational management | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa, educational management"
10.56712/latam.v6i1.3360,2026-09-04,gestión educativa,OpenAlex,LATAM Revista Latinoamericana de Ciencias Sociales y Humanidades,article,Alejandra Rosalia Intriago Cedeño; Leida Yanet Álava Montesdeoca; Yira Eliana López Vera,Innovación en la gestión educativa: Revisión sistemática,"El presente trabajo tuvo como objetivo analizar la innovación en la gestión educativa a través de un mapeo de revisión sistemática para conocer las tendencias actuales, los enfoques más efectivos y los desafíos asociados a su implementación. Se utilizó un diseño cualitativo de tipo descriptivo, no experimental y analítico, siguiendo el método PRISMA, lo que resultó en la identificación de 20 unidades de análisis. Los resultados de la revisión sistemática indican que las investigaciones fueron publicadas en revistas especializadas en gestión, tecnología y educación. Además, mostraron que la innovación en la gestión educativa se percibe como un factor epistemológico, pedagógico y didáctico que impulsa cambios significativos en el proceso educativo. En conclusión, la revisión literaria evidencia una interconexión profunda entre la introducción de nuevas ideas, contenidos y procedimientos, y una transformación integral de las prácticas educativas existentes. Esto subraya la importancia de superar los desafíos para implementar la innovación, ya que es fundamental para transformar el sistema educativo y garantizar una educación de calidad que responda a las necesidades cambiantes de la sociedad.",Political science,2025,2025-01-28,10.56712/latam.v6i1.3360,https://doi.org/10.56712/latam.v6i1.3360,https://openalex.org/W4406911396,True,https://latam.redilat.org/index.php/lt/article/download/3360/5877,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
10.35381/e.k.v3i5.774,2026-09-04,gestión educativa,OpenAlex,EPISTEME KOINONIA,article,Josefa Elizabeth Gorozabel-Quiñonez; Tyrone Gualberto Alcívar-Cedeño; Leila Lucía Moreira-Morales; María Fernanda Zambrano-Delgado,Los modelos de gestión educativa y su aporte en la educación ecuatoriana,"El artículo de reflexión tiene por objetivo analizar los modelos de gestión educativa y su aporte en la educación ecuatoriana. Se desarrolló mediante una revisión documental bibliográfica de artículos científicos y documentos relacionados al tema abordado. Se evidencia que los estudiantes perciben generar mejor aprehensión mediante el modelo no tradicional, esto implica que se pueden aplicar diversos métodos centrados en el estudiante, lo cual posibilita un mejor proceso de empoderamiento del conocimiento. Hoy día se hace necesario plantearse un sistema educativo diseñado en base a lo multidisciplinar en razón de generar la sinergia para focalizar un estudiante con visión reflexiva global en capacidad de asumir los retos sociológicos de la sociedad del conocimiento.",Humanities; Philosophy,2020,2020-06-26,10.35381/e.k.v3i5.774,https://doi.org/10.35381/e.k.v3i5.774,https://openalex.org/W3044332821,True,https://fundacionkoinonia.com.ve/ojs/index.php/epistemekoinonia/article/download/774/1280,rechazada,6,coincidencia amplia con gestión/liderazgo educativo; gestión/liderazgo educativo sin foco escolar/directivo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica",descartar,gestión/liderazgo educativo sin foco escolar/directivo,"segunda revisión: coincidencia demasiado amplia: gestion educativa, gestión educativa"
